:title:host_sample
Host ID,host_id,int(11),false,A unique identifier by which each subject can be referred to: e.g. 131. Enter a integer number only.
Host subject ID,host_subject_id,varchar(200),false,A unique identifier by which each subject can be referred to: de-identified. Free text - 200 characters.
Host common name,host_common_name,varchar(200),false,Common name of the host: e.g. Human. Free text - 200 characters.
Host taxonomy ID,host_taxid,int(11),false,NCBI taxonomy idenifier e.g. 9606. Enter an integer number only.
Age,age,double,false,Age of host at the time of sampling; relevant scale depends on species and study: e.g. could be seconds for amoebae or centuries for trees. Enter an integer number only - fill in units below.
Age unit,age_unit,varchar(20),false,Units for age given above. Free text. 20 Characters.
Height or length,height_or_length,double,false,Height or length of sample. Enter a decimal number only - fill in units below.
Height or length units,height_or_length_units,varchar(20),false,Units for height or length given above. Free text - 20 characters.
Life stage,life_stage,varchar(200),false,Description of life stage of host. Free text - 200 characters.
Host color,host_color,varchar(100),false,The color of host. Free text - 100 characters.
Host shape,host_shape,varchar(100),false,Morphological shape of host. Free text - 100 characters.
Infraspecific name,infra_specific_name,varchar(200),false,Taxonomic information about the host below subspecies level. Free text - 200 characters.
Infraspecific rank,infra_specific_rank,varchar(100),false,Taxonomic rank information about the host below subspecies level: e.g. variety form rank etc. Free text - 100 characters.
Genotype,genotype,varchar(200),false,The genotype. Free text - 200 characters.
Phenotype,phenotype,varchar(200),false,Description of phenotype. Free text - 200 characters.
Total mass,total_mass,double,false,Total mass of the host at collection. Enter a decimal number only - fill in units below. The unit depends on host.
Total mass,total_mass_unit,varchar(20),false,Units for mass entered above. Free text - 20 characters.
Dry mass,dry_mass,double,false,Total mass of the host after drying. Enter a decimal number only - fill in units below. The unit depends on host.
Dry mass units,dry_mass_unit,varchar(20),false,Units for mass entered above. Free text - 20 characters.
Disease status ,disease_stat,varchar(2000),false,List of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host. Free text - 2000 characters.
:end
